"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Slider/Cutter",7,"0","1",2,"1","1",0,0,0,0,-1,2.67,2,0.242,0,1,4,5,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",11,"0","1",2,"2","2",0,1,1,0,-2,2.17,2,0.283,0,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",5,"0","1",1,"0","1",2,0,1,1,0,2.53,56,0.281,5,-1,13,8,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",15,"0","1",5,"3","2",0,0,0,0,3,3.45,5,0.202,0,1,5,6,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",11,"0","1",3,"1","0",1,0,0,0,-1,2.58,90,0.289,28,-1,13,8,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",16,"0","1",3,"0","2",2,1,1,0,-1,3.36,4,0.214,0,-1,4,6,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",10,"0","0",3,"2","0",1,0,0,0,0,2.53,46,0.286,13,-1,13,8,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",25,"0","1",5,"1","0",0,1,0,0,-3,3.15,18,0.241,3,-1,6,6,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",11,"0","1",3,"3","2",1,0,0,0,-1,2.58,90,0.289,28,-1,13,8,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",12,"0","1",3,"2","2",2,1,0,0,1,2.5,15,0.277,1,-1,10,7,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",8,"0","1",2,"1","0",2,0,0,0,0,2.53,34,0.255,5,-1,13,8,0,0,0,0,0,1,0,1,0,0,0,0
"Slider/Cutter",10,"0","0",4,"2","2",0,0,0,0,0,2.57,9,0.29,1,-1,1,2,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",11,"0","1",2,"2","2",0,0,1,0,-3,2.67,22,0.32,7,1,4,5,0,0,0,0,0,0,1,0,0,0,1,0
"Slider/Cutter",11,"0","1",3,"1","2",2,0,0,0,0,3.45,13,0.234,5,1,5,6,0,0,0,0,0,0,1,0,0,0,1,0
"Slider/Cutter",25,"0","0",6,"1","2",2,0,0,0,1,2.5,47,0.284,5,-1,10,7,0,0,0,0,0,1,0,0,0,0,0,1
"Fastball",10,"0","1",3,"0","1",1,0,0,0,1,3.33,15,0.34,2,1,7,7,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",11,"0","1",3,"2","2",2,0,0,0,0,3.45,13,0.234,5,1,5,6,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",12,"0","1",4,"0","0",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Slider/Cutter",6,"0","1",2,"0","0",0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",4,"0","1",1,"1","1",2,1,0,0,0,2.57,5,0.476,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"Slider/Cutter",6,"0","1",2,"1","0",0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",3,"0","0",1,"2","0",1,0,0,0,0,2.55,71,0.321,12,-1,13,9,0,0,0,0,0,1,0,0,0,0,1,0
