"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeKnuckleBall","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeKnuckleBall","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",7,"0","1",4,"0","0",2,0,0,0,0,2.25,31,0.293,11,-1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",3,"1","0",2,0,0,0,-1,3.52,6,0.243,2,1,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","0",3,"3","2",1,0,0,0,0,7.36,29,0.271,7,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",8,"0","1",3,"0","0",0,0,0,0,2,3,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","0",5,"3","2",1,0,0,0,5,2.2,28,0.247,5,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",8,"0","1",6,"2","2",0,0,0,0,1,2.76,9,0.231,2,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",9,"0","1",3,"3","2",1,0,0,0,-4,0,2,0.286,0,-1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",2,"0","0",0,0,0,0,4,5.08,24,0.294,8,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"0","1",1,0,0,0,0,1.91,17,0.292,0,-1,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",2,"0","0",2,1,0,0,1,2.2,28,0.177,8,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",5,"0","1",4,"1","2",1,1,1,0,0,1.91,31,0.168,8,-1,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",1,"0","1",6,"0","2",0,0,0,0,3,4.31,21,0.228,5,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Fastball",8,"0","1",3,"0","0",1,1,0,0,-4,5.11,0,0.059,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",1,"0","0",7,"1","2",2,0,0,0,-1,5.74,14,0.294,3,-1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",8,"0","1",2,"0","0",0,0,0,0,-1,3.7,66,0.258,20,-1,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider.Cutter",2,"0","1",5,"1","2",0,0,0,0,2,2.25,3,0.164,0,-1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",6,"1","0",1,1,1,0,2,2.86,38,0.326,12,-1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",1,"1","0",0,1,1,0,1,2.19,69,0.276,12,-1,6,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Slider.Cutter",1,"0","1",3,"0","0",2,0,0,0,0,3.72,4,0.397,2,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",6,"0","1",8,"0","0",0,1,0,0,6,1.83,12,0.241,4,-1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",5,"1","1",0,0,0,0,3,3.82,28,0.253,2,-1,3,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fastball",9,"0","1",5,"1","1",0,0,0,0,2,2.25,27,0.211,8,-1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",9,"0","0",2,"0","0",1,0,0,0,-1,3.52,13,0.248,0,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",8,"0","1",5,"2","1",0,0,0,0,2,2.25,12,0.199,3,-1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",1,"0","1",3,"3","1",0,0,0,0,4,2.38,38,0.29,6,-1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"0","1",5,"0","0",0,0,0,0,2,3,1,0,0,-1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",8,"0","0",2,"1","0",1,0,0,0,3,3.82,55,0.274,14,-1,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Fastball",6,"0","0",4,"0","0",2,1,0,1,0,3.72,30,0.194,4,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
