"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",6,"1","1",2,"2","0",0,1,0,0,0,4.5,2,0.269,0,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"1","0",7,"0","2",1,1,0,0,1,3.55,20,0.253,3,1,7,9,0,0,0,0,1,0,0,0,0,0,1,0
"Fastball",4,"1","0",4,"0","0",0,0,1,0,0,3.42,23,0.286,5,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","1",5,"2","1",1,1,0,1,-3,3.24,31,0.213,13,-1,6,5,0,0,0,0,0,1,0,0,0,1,0,0
"CurveBall",7,"1","0",5,"1","2",0,0,1,0,3,3.15,1,0.231,0,1,4,4,0,0,0,0,0,1,0,0,1,0,0,0
"CurveBall",8,"1","0",3,"1","2",1,0,0,0,2,5.33,4,0.22,1,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",7,"1","0",2,"0","2",2,1,0,0,0,4.5,1,0.263,0,-1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"1","0",5,"0","0",0,0,0,0,-1,3.06,6,0.333,0,1,6,5,0,0,1,0,0,0,0,1,0,0,0,0
"CurveBall",2,"1","0",5,"0","0",1,0,0,0,-1,4.24,15,0.25,3,-1,2,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",7,"1","1",2,"2","2",0,0,1,0,-1,3.06,20,0.254,5,1,6,5,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",9,"1","1",5,"0","1",2,1,1,0,0,2.99,2,0.13,0,-1,6,4,7,5,0,0,1,0,0,1,0,0,0,0
"Fastball",2,"1","1",1,"0","1",1,0,0,0,0,3.42,14,0.256,2,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",1,"1","0",3,"1","2",0,0,0,0,0,2.79,33,0.249,9,1,8,0,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"1","1",1,"0","2",0,0,0,0,1,3.55,12,0.293,3,-1,7,7,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",8,"1","1",7,"2","2",1,0,0,0,1,6.1,0,0.333,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"CurveBall",1,"1","0",1,"0","2",0,0,0,0,0,6.06,4,0.262,2,-1,2,4,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",4,"1","1",1,"2","2",2,0,1,0,0,3.67,59,0.31,2,-1,7,8,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",2,"1","0",8,"0","1",1,0,0,0,2,3.59,55,0.258,9,-1,10,10,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",6,"1","0",4,"1","1",2,0,0,0,3,3.1,7,0.242,1,-1,5,4,0,0,0,1,0,0,0,0,0,0,1,0
"Fastball",2,"1","1",1,"0","2",1,0,0,0,0,3.42,13,0.253,0,-1,3,2,0,0,0,0,1,0,0,0,0,0,1,0
