"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",11,"0","1",9,"1","0",0,0,0,0,7,4.35,36,0.271,7,-1,7,8,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",6,"0","1",5,"0","2",0,0,0,0,-5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",5,"0","1",1,"0","0",1,0,0,0,-3,2.32,22,0.213,5,-1,9,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","1",2,"0","1",1,0,0,0,3,4.04,38,0.267,9,1,5,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",14,"0","1",4,"0","2",0,0,0,0,1,9,0,0.176,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"CurveBall",15,"0","1",4,"1","2",0,1,0,1,-3,4.11,51,0.251,8,1,7,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",10,"0","1",3,"0","1",0,0,0,0,2,4.17,9,0.236,3,-1,7,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"CurveBall",3,"0","1",1,"1","0",1,0,0,0,0,5.51,13,0.305,5,-1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",22,"0","1",6,"0","0",0,1,0,0,4,4.28,36,0.246,6,-1,4,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",6,"0","1",2,"0","1",0,0,0,0,0,4.11,51,0.251,8,1,7,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",2,"3","2",1,0,0,0,-1,4.19,13,0.224,2,1,5,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",22,"0","1",6,"0","0",0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",12,"0","1",3,"1","0",2,0,0,0,-1,2.8,44,0.312,11,1,4,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"CurveBall",7,"0","0",3,"2","2",0,0,0,0,0,4.24,33,0.236,13,1,4,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",16,"0","0",4,"1","0",1,1,0,1,2,2.57,29,0.227,10,-1,7,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"CurveBall",3,"0","1",1,"1","2",2,0,0,0,0,4.04,67,0.296,21,1,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",1,"0","1",1,"1","1",0,0,0,0,0,5.14,30,0.27,4,1,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",21,"0","1",5,"0","0",2,0,0,0,2,5.14,59,0.234,17,1,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",24,"0","1",6,"0","2",1,0,0,0,-4,5.44,8,0.25,2,-1,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"CurveBall",15,"0","0",4,"1","1",0,0,0,0,-1,2.19,19,0.243,5,-1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",12,"0","0",4,"0","0",0,0,0,0,1,2.76,64,0.255,20,-1,5,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",7,"0","1",2,0,1,0,4,0,3,0.145,1,-1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",25,"0","1",6,"1","1",0,0,1,0,-3,1.42,22,0.26,2,-1,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",11,"0","1",4,"2","0",1,0,0,0,1,1.96,1,0.203,1,1,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",21,"0","1",5,"2","0",1,0,0,0,-2,1.42,30,0.273,13,-1,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",19,"0","1",6,"2","0",0,0,0,0,6,2.39,19,0.305,3,1,6,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",20,"0","1",5,"0","0",2,0,0,0,0,2.76,36,0.28,4,-1,5,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",18,"0","1",4,"1","1",2,1,0,0,0,4.13,26,0.184,5,-1,7,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",12,"0","1",3,"0","2",0,0,0,0,-1,4.19,70,0.3,33,1,5,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",9,"0","1",2,"1","1",0,0,0,0,-4,2.32,5,0.245,0,-1,9,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fastball",29,"0","1",9,"2","1",0,0,0,0,3,4.65,1,0.304,0,-1,3,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",5,"0","1",1,"0","0",2,1,1,0,0,5.51,9,0.216,0,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",3,"0","0",4,"2","0",0,1,1,1,-5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",1,"0","1",1,"2","1",0,0,0,0,0,4.28,14,0.262,2,-1,4,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",15,"0","1",4,"0","2",0,1,0,1,-3,4.11,51,0.251,8,1,7,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",15,"0","0",4,"1","2",0,0,0,0,-1,2.19,19,0.243,5,-1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",23,"0","1",8,"1","1",0,0,0,0,1,1.96,37,0.283,12,1,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
