"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",22,"0","1",7,"1","2",1,0,0,0,1,2.09,37,0.241,6,1,11,3,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",4,"0","1",2,"1","1",0,0,0,0,-1,4.36,24,0.281,6,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",22,"0","1",6,"1","2",0,0,0,0,-3,2.01,83,0.26,31,1,10,2,0,0,0,0,1,0,0,0,0,1,0,0
"Slider/Cutter",3,"0","0",1,"2","2",2,0,0,0,0,2.74,37,0.26,4,-1,6,3,0,0,0,1,0,0,0,0,0,0,0,1
"ChangeUp",9,"0","0",3,"2","1",1,1,0,0,0,2.3,28,0.231,4,1,7,1,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",15,"0","1",4,"1","2",1,0,0,0,1,3.04,13,0.205,2,-1,6,2,0,0,0,0,1,0,0,0,1,0,0,0
"Slider/Cutter",20,"0","0",6,"1","1",1,1,1,0,5,2.3,8,0.293,0,1,7,1,0,0,0,0,0,0,1,0,0,0,0,1
"Slider/Cutter",6,"0","0",2,"1","1",0,1,0,0,6,3.66,4,0.75,1,-1,4,2,0,0,0,0,0,0,1,0,0,0,0,1
"ChangeUp",14,"0","1",4,"1","2",0,0,0,0,0,2.27,0,0,0,-1,6,1,0,0,0,0,0,0,1,0,0,1,0,0
"ChangeUp",15,"0","1",5,"0","1",2,0,0,0,0,3.01,0,0.235,0,1,6,3,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",8,"0","1",3,"0","2",1,0,0,0,0,2.06,6,0.275,0,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",9,"0","1",3,"1","1",0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",24,"0","1",7,"1","0",0,0,0,0,2,2.14,3,0.19,2,-1,10,2,0,0,0,0,1,0,0,1,0,0,0,0
"ChangeUp",7,"0","1",3,"2","0",0,0,0,0,0,3.01,24,0.212,6,1,6,3,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",6,"0","1",2,"1","0",0,0,0,0,1,3.04,13,0.205,2,-1,6,2,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",18,"0","1",4,"1","0",0,0,0,0,-2,1.88,21,0.271,3,1,10,1,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",29,"0","1",6,"0","2",2,0,0,0,1,2.2,19,0.339,6,-1,6,1,0,0,0,0,0,0,1,0,0,1,0,0
"ChangeUp",6,"0","1",2,"2","2",0,1,0,0,2,2.8,38,0.249,5,-1,7,4,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",23,"0","1",6,"1","2",2,0,0,0,10,1.5,9,0.256,4,-1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"ChangeUp",9,"0","1",3,"0","0",0,1,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",24,"0","1",6,"2","2",2,1,0,0,-2,2.09,26,0.198,7,1,10,1,0,0,0,0,0,0,1,0,1,0,0,0
