pitch_type,bat_order,pitch_rl,bat_rl,inning,balls,strikes,out,on_1b,on_2b,on_3b,score_diff,era,rbi,avg,hr,pitcher_at_home,pitcher_wins,pitcher_losses,batter_wins,batter_losses,prev_pitch_type0,prev_pitch_typeChangeUp,prev_pitch_typeFastball,prev_pitch_typeKnuckleBall,prev_pitch_typeSlider.Cutter,prevprev_pitch_type0,prevprev_pitch_typeChangeUp,prevprev_pitch_typeFastball,prevprev_pitch_typeKnuckleBall,prevprev_pitch_typeSlider.Cutter
Fastball,2,1,0,9,0,0,0,0,0,0,4,3.97,18,0.302,1,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,5,1,0,4,0,1,0,0,0,0,4,0.84,2,0.267,0,-1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Slider/Cutter,1,1,1,6,0,0,0,0,0,0,1,3.97,33,0.273,4,1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,7,1,1,2,0,0,2,1,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,2,1,0,1,2,1,0,1,0,0,0,3.34,25,0.265,9,-1,4,2,0,0,0,0,0,0,1,0,0,0,0,1
Fastball,1,1,0,1,2,1,0,0,0,0,0,4.11,36,0.281,8,1,7,4,0,0,0,0,0,0,1,0,0,0,0,1
Fastball,3,1,1,6,1,0,1,1,1,0,8,3.55,72,0.251,16,1,10,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,4,1,1,1,1,1,0,0,0,1,-1,4.53,26,0.32,10,-1,4,2,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,6,1,0,7,2,0,1,0,0,0,-1,3.73,39,0.233,9,1,9,5,0,0,0,0,0,1,0,0,0,0,1,0
Fastball,9,1,1,3,3,2,1,0,0,0,4,3.78,15,0.219,3,1,8,5,0,0,0,0,1,0,0,0,1,0,0,0
Fastball,5,1,0,3,1,0,0,0,0,0,-3,3.8,9,0.169,2,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0
Fastball,1,1,1,3,0,0,0,0,0,0,1,3.97,33,0.273,4,1,7,5,0,0,1,0,0,0,0,1,0,0,0,0
Slider/Cutter,4,1,1,1,2,1,0,1,0,0,-2,4.63,26,0.306,8,-1,5,2,0,0,0,0,1,0,0,0,1,0,0,0
Fastball,8,1,1,4,2,2,0,0,1,1,0,3.92,34,0.245,6,1,7,5,0,0,0,0,0,1,0,0,0,1,0,0
Slider/Cutter,4,1,0,1,0,0,0,0,1,0,-1,3.34,24,0.21,8,-1,4,2,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,7,1,1,2,2,2,0,1,0,1,-1,3.36,36,0.222,11,1,12,5,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,4,1,0,9,2,2,0,0,0,0,2,1.8,1,0.176,1,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Fastball,4,1,1,1,0,0,0,1,0,0,-2,4.63,26,0.306,8,-1,5,2,0,0,1,0,0,0,0,1,0,0,0,0
