"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",4,"0","1",1,"0","1",2,0,0,0,-1,4.13,22,0.259,6,1,2,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",22,"0","1",6,"1","0",0,1,0,0,-1,4.67,30,0.224,10,-1,2,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",17,"0","0",5,"1","1",0,0,0,0,-1,4.03,21,0.234,4,1,3,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",27,"0","1",8,"1","0",0,0,0,0,0,3.67,0,0,0,-1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",22,"0","1",7,"0","0",0,0,0,0,0,4,14,0.302,4,-1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",27,"0","1",5,"0","2",2,1,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",5,"0","1",1,"1","1",2,0,1,0,-1,3.95,21,0.284,7,-1,3,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",8,"0","1",2,"0","0",2,0,0,0,-2,3.69,0,0.083,0,-1,4,8,9,5,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",17,"0","1",4,"1","0",0,0,0,0,0,0,1,0.5,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",12,"0","0",4,"0","0",0,0,1,0,-2,4.13,25,0.283,1,1,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
